Name,Price,Category,Description,Ingredients
Aurora Lemonada,150.0,Weather Refreshers,Color-changing sparkling lemonade.,Lemon:2|Butterfly Pea:5
Horizon Toast,230.0,Elevated Bites,Sourdough toast with avocado and feta.,Cherry Tomatoes:30|Feta Cheese:30|Avocado:1|Sourdough Bread:1
Zest Muffin,150.0,Elevated Bites,Lemon-poppy seed muffin.,Poppy Seeds:5|Flour:100|Lemon:1
Celestial Roll,135.0,Elevated Bites,Giant butterscotch sticky roll.,Butterscotch:30|Flour:120
Morning Matcha,160.0,Weather Refreshers,Premium matcha latte with honey drizzle.,Matcha Powder:15|Milk:200|Honey:10
Sunshower Smoothie,195.0,Weather Refreshers,Mango and passion fruit smoothie.,Passion Fruit:1|Mango:1
Nimbus Cold Brew,185.0,Cloudy Brews,Nitrogen-infused creamy cold brew.,Nitrogen:1|Espresso Beans:25
Altostratus Mocha,175.0,Cloudy Brews,Dense espresso and chocolate blend.,Espresso Beans:18|Dark Chocolate:25|Milk:180
Rainy Iced Tea,140.0,Weather Refreshers,Bold black tea with mint and citrus.,Lemon:1|Tea Leaves:10|Mint:5
Cirrus Fog Americano,145.0,Cloudy Brews,Americano infused with cardamom mist.,Cardamom:2|Espresso Beans:18
Creamy Cumulatte,165.0,Cloudy Brews,Velvety vanilla bean latte with cloud foam.,White Chocolate:5|Espresso Beans:18|Milk:200|Vanilla Syrup:20
Stratospresso,170.0,Cloudy Brews,Layered Macchiato with dark chocolate hint.,Espresso Beans:20|Dark Chocolate:15|Milk:150
